custcode,Año,Trimestre,Mes,Día,Tipo_Cliente,Total abono,declinecause,saldo,Baja
40,2015,Trim. 1,enero,30,Comercial,236.88,CAMEM,4205.53,1
40,2013,Trim. 4,noviembre,27,Comercial,0,INCOB,396.76,0
54,2017,Trim. 4,diciembre,19,Comercial,0,PROEC,0,0
77,2016,Trim. 3,agosto,11,Comercial,187.6,NOUSA,454,1
88,2019,Trim. 1,febrero,4,Comercial,0,CAMBI,0,0
183,2013,Trim. 3,agosto,26,Comercial,0,INCOB,516.86,0
593,2013,Trim. 4,octubre,18,Comercial,190.98,MUDAN,0,1
1005,2015,Trim. 3,julio,20,Comercial,0,AUMEN,0,0
1005,2016,Trim. 1,marzo,30,Comercial,0,AUMEN,0,0
1005,2018,Trim. 2,junio,11,Comercial,974.99,AUMEN,1782.84,1
1005,2014,Trim. 2,abril,21,Comercial,0,DISCO,0,0
1005,2014,Trim. 2,mayo,15,Comercial,0,DISCO,0,0
1005,2017,Trim. 4,octubre,19,Comercial,0,MUDAN,0,0
1005,2014,Trim. 4,octubre,8,Comercial,0,PROEC,0,0
1005,2017,Trim. 1,febrero,7,Comercial,0,PROEC,845.9,0
1007,2015,Trim. 2,abril,13,Comercial,320.96,MUDAN,-290,1
1015,2015,Trim. 1,febrero,23,Comercial,0,PROEC,0,0
1019,2018,Trim. 2,abril,12,Comercial,759.35,NOUSA,0,1
1150,2018,Trim. 2,abril,19,Comercial,520.66,INCOB,3264.63,1
1223,2015,Trim. 1,febrero,25,Comercial,320.96,NOUSA,357.29,1
1244,2018,Trim. 2,abril,24,Comercial,759.35,NOUSA,0,1
1245,2018,Trim. 4,octubre,8,Comercial,0,MUDAN,42.35,0
1251,2015,Trim. 4,noviembre,12,Comercial,0,PROEC,-36.3,0
1251,2018,Trim. 1,febrero,16,Comercial,721.35,PROEC,-36.3,1
1745,2018,Trim. 3,septiembre,3,Comercial,678.3,DISCO,-316.44,1
1745,2016,Trim. 4,octubre,31,Comercial,0,PROEC,-316.44,0
1745,2018,Trim. 1,marzo,12,Comercial,0,PROEC,-316.44,0
1753,2014,Trim. 2,junio,27,Comercial,0,MUDAN,0,0
1803,2015,Trim. 2,mayo,22,Comercial,0,AUMEN,508.28,0
1803,2019,Trim. 4,diciembre,6,Comercial,312.4,INCOB,756,1
1803,2015,Trim. 1,marzo,4,Comercial,0,PROEC,1240.26,0
1803,2016,Trim. 3,julio,5,Comercial,0,PROEC,630,0
1988,2016,Trim. 1,marzo,4,Comercial,0,INCOB,595.93,0
1988,2013,Trim. 3,julio,2,Comercial,0,PROEC,593.53,0
2031,2013,Trim. 3,septiembre,27,Comercial,0,CAMEM,-7.6,0
2031,2016,Trim. 1,febrero,1,Comercial,383.74,NOUSA,-7.6,1
2178,2015,Trim. 3,julio,13,Comercial,394.8,NOUSA,1191.95,1
2186,2018,Trim. 2,junio,6,Comercial,972.52,MUDAN,1176.75,1
2384,2014,Trim. 1,enero,27,Comercial,263.34,INCOB,897.98,1
2528,2015,Trim. 1,enero,21,Comercial,0,CAMBI,316.79,0
2529,2015,Trim. 4,octubre,23,Comercial,394.8,CAMEM,1401.56,1
2603,2017,Trim. 3,julio,7,Comercial,0,NOUSA,748.44,0
